,YEAR,MAKE,MODEL,FUEL_TYPE,PRICE,KM_DRIVEN,TRANSMISSION,WHEEL_TYPE,EMI_PER_MONTH,LOCATION
123,2021,Maruti,S PRESSO,Petrol,4.27,"12,992",Manual,Safety specs.,"8,348","Newtown, Kolkata
"
124,2017,Hyundai,Grand i10,Petrol,3.99,"97,245",Automatic,Spl. reg. no.,"7,801","Newtown, Kolkata
"
125,2019,Tata,NEXON XM,Petrol,5.97,"24,678",Manual,City driven,"11,675","Newtown, Kolkata
"
126,2014,Toyota,Etios CROSS,Petrol,3.01,"61,177",Manual,Safety specs.,"6,696","Newtown, Kolkata
"
127,2018,Datsun,Go T,Petrol,2.52,"43,070",Manual,Alloy wheels,"4,927","Newtown, Kolkata
"
128,2019,Maruti,Swift VXI,Petrol,4.85,"23,964",Manual,Top Model,"9,491","Newtown, Kolkata
"
129,2020,Tata,ALTROZ XZ,Petrol,6.21,"12,303",Manual,Spl. reg. no.,"12,144","Newtown, Kolkata
"
130,2015,Maruti,Wagon R,Petrol,2.95,"49,070",Manual,Spl. reg. no.,"5,774","Newtown, Kolkata
"
131,2014,Honda,City 1.5L,Petrol,3.50,"60,590",Manual,Safety specs.,"7,786","Newtown, Kolkata
"
132,2023,Maruti,Swift VXI,Petrol,6.47,"20,462",Manual,Top Model,"12,652","Newtown, Kolkata
"
133,2017,Mahindra,KUV 100,Petrol,3.14,"49,462",Manual,Alloy wheels,"6,135","Newtown, Kolkata
"
134,2018,Hyundai,Verna 1.6,Petrol,7.05,"60,647",Manual,Low run cost,"13,783","Newtown, Kolkata
"
135,2014,Honda,City 1.5L,Diesel,3.78,"54,754",Manual,Spl. reg. no.,"9,954","Newtown, Kolkata
"
136,2020,Datsun,Redi Go,Petrol,2.97,"31,958",Manual,Reg. serviced,"5,806","Newtown, Kolkata
"
137,2018,Maruti,Dzire ZXI,Petrol,5.59,"71,141",Automatic,Reg. serviced,"10,929","Newtown, Kolkata
"
